Designator	Device	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Pins	Layer	Rotation	SMD	Comment
"U47"	"LED-SMD_4P-L2.0-W2.0-BR"	"LED-SMD_4P-L2.0-W2.0-BR"	"198.29mm"	"64.9mm"	"198.29mm"	"64.9mm"	"198.94mm"	"64.25mm"	"4"	"T"	"0"	"Yes"	"LED-SMD_4P-L2.0-W2.0-BR"	
"U48"	"LED-SMD_4P-L2.0-W2.0-BR"	"LED-SMD_4P-L2.0-W2.0-BR"	"217.29mm"	"64.9mm"	"217.29mm"	"64.9mm"	"217.94mm"	"64.25mm"	"4"	"T"	"0"	"Yes"	"LED-SMD_4P-L2.0-W2.0-BR"	
"C49"	"C0402_NEW"	"C0402_NEW"	"170.265mm"	"69.75mm"	"170.265mm"	"69.75mm"	"169.72mm"	"69.75mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C50"	"C0402_NEW"	"C0402_NEW"	"189.165mm"	"69.75mm"	"189.165mm"	"69.75mm"	"188.62mm"	"69.75mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"U49"	"LED-SMD_4P-L2.0-W2.0-BR"	"LED-SMD_4P-L2.0-W2.0-BR"	"170.09mm"	"72.2mm"	"170.09mm"	"72.2mm"	"170.74mm"	"71.55mm"	"4"	"T"	"0"	"Yes"	"LED-SMD_4P-L2.0-W2.0-BR"	
"U50"	"LED-SMD_4P-L2.0-W2.0-BR"	"LED-SMD_4P-L2.0-W2.0-BR"	"189.09mm"	"72.2mm"	"189.09mm"	"72.2mm"	"189.74mm"	"71.55mm"	"4"	"T"	"0"	"Yes"	"LED-SMD_4P-L2.0-W2.0-BR"	
"C51"	"C0402_NEW"	"C0402_NEW"	"141.965mm"	"69.55mm"	"141.965mm"	"69.55mm"	"141.42mm"	"69.55mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C52"	"C0402_NEW"	"C0402_NEW"	"160.865mm"	"69.55mm"	"160.865mm"	"69.55mm"	"160.32mm"	"69.55mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"U51"	"LED-SMD_4P-L2.0-W2.0-BR"	"LED-SMD_4P-L2.0-W2.0-BR"	"141.79mm"	"72mm"	"141.79mm"	"72mm"	"142.44mm"	"71.35mm"	"4"	"T"	"0"	"Yes"	"LED-SMD_4P-L2.0-W2.0-BR"	
"U52"	"LED-SMD_4P-L2.0-W2.0-BR"	"LED-SMD_4P-L2.0-W2.0-BR"	"160.79mm"	"72mm"	"160.79mm"	"72mm"	"161.44mm"	"71.35mm"	"4"	"T"	"0"	"Yes"	"LED-SMD_4P-L2.0-W2.0-BR"	
"C53"	"C0402_NEW"	"C0402_NEW"	"117.915mm"	"53.799mm"	"117.915mm"	"53.8mm"	"117.37mm"	"53.799mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C54"	"C0402_NEW"	"C0402_NEW"	"136.815mm"	"53.799mm"	"136.815mm"	"53.8mm"	"136.27mm"	"53.799mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"U53"	"LED-SMD_4P-L2.0-W2.0-BR"	"LED-SMD_4P-L2.0-W2.0-BR"	"117.74mm"	"56.249mm"	"117.74mm"	"56.25mm"	"118.39mm"	"55.6mm"	"4"	"T"	"0"	"Yes"	"LED-SMD_4P-L2.0-W2.0-BR"	
"U54"	"LED-SMD_4P-L2.0-W2.0-BR"	"LED-SMD_4P-L2.0-W2.0-BR"	"136.74mm"	"56.249mm"	"136.74mm"	"56.25mm"	"137.39mm"	"55.6mm"	"4"	"T"	"0"	"Yes"	"LED-SMD_4P-L2.0-W2.0-BR"	
"C55"	"C0402_NEW"	"C0402_NEW"	"106.085mm"	"20.327mm"	"106.085mm"	"20.327mm"	"105.54mm"	"20.327mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C56"	"C0402_NEW"	"C0402_NEW"	"124.985mm"	"20.327mm"	"124.985mm"	"20.327mm"	"124.44mm"	"20.327mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"U55"	"LED-SMD_4P-L2.0-W2.0-BR"	"LED-SMD_4P-L2.0-W2.0-BR"	"105.91mm"	"22.777mm"	"105.91mm"	"22.777mm"	"106.56mm"	"22.127mm"	"4"	"T"	"0"	"Yes"	"LED-SMD_4P-L2.0-W2.0-BR"	
"U56"	"LED-SMD_4P-L2.0-W2.0-BR"	"LED-SMD_4P-L2.0-W2.0-BR"	"124.91mm"	"22.777mm"	"124.91mm"	"22.777mm"	"125.56mm"	"22.127mm"	"4"	"T"	"0"	"Yes"	"LED-SMD_4P-L2.0-W2.0-BR"	
"C57"	"C0402_NEW"	"C0402_NEW"	"190.499mm"	"116.25mm"	"190.499mm"	"116.25mm"	"189.954mm"	"116.25mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"U57"	"LED-SMD_4P-L2.0-W2.0-BR"	"LED-SMD_4P-L2.0-W2.0-BR"	"190.399mm"	"118.25mm"	"190.399mm"	"118.25mm"	"191.049mm"	"117.6mm"	"4"	"T"	"0"	"Yes"	"LED-SMD_4P-L2.0-W2.0-BR"	
"C58"	"C0402_NEW"	"C0402_NEW"	"195.499mm"	"116.25mm"	"195.499mm"	"116.25mm"	"194.954mm"	"116.25mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"U58"	"LED-SMD_4P-L2.0-W2.0-BR"	"LED-SMD_4P-L2.0-W2.0-BR"	"195.399mm"	"118.25mm"	"195.399mm"	"118.25mm"	"196.049mm"	"117.6mm"	"4"	"T"	"0"	"Yes"	"LED-SMD_4P-L2.0-W2.0-BR"	
"C59"	"C0402_NEW"	"C0402_NEW"	"200.499mm"	"116.25mm"	"200.499mm"	"116.25mm"	"199.954mm"	"116.25mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"U59"	"LED-SMD_4P-L2.0-W2.0-BR"	"LED-SMD_4P-L2.0-W2.0-BR"	"200.399mm"	"118.25mm"	"200.399mm"	"118.25mm"	"201.049mm"	"117.6mm"	"4"	"T"	"0"	"Yes"	"LED-SMD_4P-L2.0-W2.0-BR"	
"C60"	"C0402_NEW"	"C0402_NEW"	"205.499mm"	"116.25mm"	"205.499mm"	"116.25mm"	"204.954mm"	"116.25mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
